index,distance,distance_cum
20962,265.8552237590979,21010.086506247422
20963,276.05434247625954,21639.13223768458
20964,279.1415411578864,21751.378163233705
20965,288.87713651308576,22993.102748433063
20966,309.2458568841303,25275.22377744656
20967,314.51867989040016,24817.899911152836
20968,305.36535494387704,24143.387914706585
20969,296.05573799539843,23133.429317764367
20970,318.56553485899883,25660.753476856444
20971,326.4597984438513,26453.09112372314
20972,317.1703012578574,25450.652604599356
20973,368.2200429091279,29786.223812359967
20974,317.55944325432995,26562.27723671297
20975,347.90803382503253,29397.37194036229
20976,361.006925141333,30340.31385796792
20977,363.11568404573217,31068.76989840441
20978,379.0580430488186,31019.25376278417
20979,309.3234553020511,25762.10166116111
20980,350.41404081457694,29606.2143307786
20981,351.9772719935195,29152.7134929152
20982,383.7837933003425,31964.374215679556
20983,360.3942285886387,29614.360874413615
20984,360.7048655064137,29536.78569174378
20985,367.3703853061648,31004.082892419185
20986,387.6261085117977,31192.114692659103
20987,378.03968045695945,31947.224183017843
20988,396.1338157744173,32684.18285654393
20989,399.26307116987414,33475.426569350835
20990,399.3607391820082,34505.11075188718
20991,416.5609199144826,32599.136276901572
20992,421.4913996750112,34679.40320997465
20993,436.26024343274736,35313.06348930945
20994,399.1165243384443,33300.2120864117
20995,440.46566267985065,36106.67416143448
20996,409.4484094486142,34821.049840577754
20997,443.48167944121434,37969.55392153034
20998,459.6194077712559,38945.72267913384
20999,450.5574325210938,36809.56476243641
21000,147.648230602334,5261.169166639674
21001,149.47909552843836,5969.778974132962
21002,151.67069591717444,5099.628123696864
21003,150.71828024496563,6258.065276105707
21004,151.49257407543118,5683.5928777490735
21005,156.75139552807815,6681.702627324865
21006,165.27250225007182,6528.542563237219
21007,158.19608086169518,6783.442046630899
21008,160.43378696521503,7343.053588256046
21009,157.1146078504478,7010.235944674045
21010,156.39693091617875,8237.29737231818
21011,164.94544552669527,8666.541870896373
21012,164.76953601925328,7887.0105870348625
21013,154.6415209444087,8163.688443344711
21014,159.78110025907318,7703.077631700203
21015,171.60128204649288,7816.521796809627
21016,176.59275183313724,9355.977928575932
21017,185.70137317747543,10431.19216580732
21018,172.9624236647949,8751.640817583866
21019,178.53571071357126,9019.627265025978
21020,184.05977290000115,11526.37145852935
21021,181.62874221884596,10522.10026563138
21022,192.95336224072383,12477.26897201467
21023,168.96153408394468,9852.969907596387
21024,193.4269888097315,12206.710572467917
21025,181.11598493782927,10223.565718476111
21026,191.86453554526432,11608.488402888635
21027,198.75110062588337,12727.53161457476
21028,189.2987057536316,11790.131551428933
21029,189.38584952419228,12718.76821866017
21030,202.56357026869367,13099.107679532985
21031,201.3380242279138,13114.59034815804
21032,224.67087038599377,14196.291698890947
21033,218.1146487515224,14653.95397153956
21034,215.55741694499864,13334.759090437292
21035,230.5363311931549,16040.412775237426
21036,219.65655009582576,15692.335963775438
21037,224.90220096744272,14508.703043346086
21038,239.92082027202224,15447.789000371542
21039,237.3162447031387,15629.445895488429
21040,239.32404810214956,14515.292280901544
21041,239.403425205238,15193.271932009906
21042,265.8759109058209,17768.26339291491
21043,252.33905761891083,16628.299852961518
21044,255.199921630082,16892.099425471068
21045,281.4817933721469,19510.012019473488
21046,274.1313553754842,18822.2699746869
21047,268.20141684935226,19890.15651019368
21048,268.16039976103855,19978.58398385631
21049,242.5963726027246,18403.242295856457
21050,261.56643515558335,18347.326181217795
21051,248.75087939543047,18436.939740640257
21052,281.8616681991363,20230.77722184691
21053,264.91885550107605,19038.635113894063
21054,275.45235522681594,19827.577789533447
21055,273.2123716086078,20079.447054139713
21056,291.9486256175905,22485.269711524477
21057,280.48529373213137,21838.28711231721
21058,263.64938839299435,20820.14128194139
21059,304.83110077549503,23983.519695824463
21060,289.86548604482044,21007.33557593633
21061,279.7766966707556,21924.123585676123
21062,301.146143923511,23776.712262211528
21063,322.7119458588417,24913.590809034333
21064,308.39747080674965,24352.061966084104
21065,318.034589313804,24972.344543514533
21066,354.60400448951503,27717.391832566063
21067,351.9517012318594,26728.34209224358
21068,339.17989327199217,25983.612951242943
21069,352.36628669610263,29293.816378205145
21070,351.38155899250035,27967.34712124123
21071,314.54888332340335,25162.594361472347
21072,312.19224846238575,24849.39520390788
21073,317.63815891671453,26307.81315503058
21074,358.86627035707886,27437.301179234084
21075,358.1159030258221,29148.536223968433
21076,352.66272839640993,27913.08103739177
21077,382.071982746707,30262.520797184097
21078,368.1765880661072,28467.012751604267
21079,380.6835956539236,30153.581611476937
21080,368.71262522457783,29585.351324599815
21081,377.7697711569839,30399.10610527882
21082,375.54626878721615,31175.826179910615
21083,378.8178982044011,30474.899097453956
21084,416.6809330890963,34648.24607393569
21085,378.6885263643461,31572.99776707939
21086,415.2746079403363,34721.8690021145
21087,395.74234041861126,31861.659278826017
21088,408.3809496046553,32375.053667909186
21089,414.0434759780669,33748.15519402505
21090,439.6623704616987,36529.38441857459
21091,407.95587996742984,33334.25275898651
21092,436.1375929680907,35450.65517025038
21093,405.70432583348185,33693.27590187692
21094,430.6866610425728,33581.092581987265
21095,460.19887005511,37169.5443743934
21096,462.2585856422788,38264.386810714735
21097,465.5673957656399,38434.01709423567
21098,435.67304254452097,35768.544630722674
21099,464.9677408165001,39591.182553694955
21100,136.87220316777254,5618.140350685448
21101,137.26616480400406,4902.6524453605725
21102,140.1320805525987,5441.020492517925
21103,155.88457268119896,7373.823431571982
21104,155.37052487521564,7067.895019027943
21105,149.2916608521722,6762.563271423048
21106,144.97586005952854,6555.93227542811
21107,159.26079241294764,7415.210381371522
21108,152.39094461286078,7879.964720733209
21109,154.14927829866735,8435.713070037411
21110,148.87578715157142,7869.403535211547
21111,155.00322577288512,8333.134524295165
21112,154.1654954910469,8157.453095176214
21113,149.4824404403407,8126.299526844922
21114,163.0,8581.182785607121
21115,158.9402403420858,9255.326844579828
21116,154.44092721814383,6728.508898708539
21117,158.0379701211073,9359.695614708846
21118,156.05447766725567,8569.669071790346
21119,173.24837661577092,10743.614568663565
21120,169.00887550658396,10990.576372511134
21121,169.13308369446824,11580.26994504014
21122,162.24672569885655,9498.524148519076
21123,176.96609844826213,11380.37784961466
21124,178.1684596105607,11138.253812873902
21125,179.12007146045917,12040.168561942975
21126,179.3655485314836,12197.892440909618
21127,208.2666559965853,13908.820726431124
21128,178.4096409950987,10750.178835721756
21129,209.11719202399405,14121.921894699744
21130,202.21275924134952,13997.57239666936
21131,184.0950841277409,13138.980059350117
21132,209.43017929610812,13540.344382621885
21133,190.4153355168643,12431.401087568527
21134,201.4472635703945,14125.406755205317
21135,205.43125370790105,14162.931899857458
21136,227.3147597495596,16018.719486900318
21137,224.3680012836055,16391.989293554336
21138,240.43918149918912,18300.926042143332
21139,246.35137507227356,18204.145956347416
21140,229.08513701242163,16351.24533483612
21141,219.57686581240748,15996.913546056314
21142,226.85237490491477,16697.67903033233
21143,254.72337937456783,19541.11859643659
21144,236.58190970570848,17813.776185862447
21145,250.27185219277055,18823.65673826422
21146,245.8312429289654,19111.428177925376
21147,261.024903026512,19849.84866441052
21148,252.59057781318765,19901.308072586584
21149,255.78115645997067,20216.040710287463
21150,256.7995327098552,19738.718803407683
21151,252.69744755339337,18889.205753551418
21152,272.41512439657237,20624.52549757206
21153,253.6434505363779,19685.29715295149
21154,271.0073799733136,21614.00087905985
21155,285.04561038542585,22089.789021174467
21156,263.06273016145786,20043.77900995718
21157,269.8703392371974,22171.054485522334
21158,278.4905743467811,22079.194799629808
21159,266.0695397823659,22190.378185150428
21160,298.0855581875781,23597.74751962568
21161,318.6345869487492,24301.00125509235
21162,301.5675712008836,24918.95515466088
21163,301.1029724197355,24879.60946236898
21164,345.1535890006071,27005.619711460055
21165,326.3449095665505,26369.99321198244
21166,314.2960387914553,25206.95457606888
21167,322.92878471886024,26043.4313599418
21168,310.5253612831004,24652.28305857289
21169,337.4566638844164,27719.402681154585
21170,339.17104829274564,26770.178744266912
21171,339.0471943550042,26831.474875600856
21172,349.6069221282668,27076.967149221124
21173,351.7442252546586,28505.674978852898
21174,378.5102376422598,29844.933054037832
21175,369.0907747424744,29966.62458469422
21176,353.1784251621268,28649.69760747921
21177,356.6020190632689,28362.154308162135
21178,370.6723620665561,30097.022510540806
21179,384.78045688418223,31641.91553936013
21180,410.77487751808775,33628.242564844215
21181,403.35716183055433,32842.03195601636
21182,394.89365657098114,32590.064559616934
21183,397.5323886175817,32464.7345284079
21184,395.279647844409,32780.193318526966
21185,411.09974458761224,33114.52764271295
21186,397.5889837508077,32580.61782716835
21187,421.3573305402435,34192.40303049787
21188,395.2530834794335,32877.798025415264
21189,419.04534360854075,33188.97030641355
21190,419.4305663634924,33853.28718160173
21191,403.9950494746192,33286.672963815414
21192,439.7021719300463,36587.25776824494
21193,452.0475638691132,37979.310380784955
21194,443.0462729783426,36230.61374031635
21195,422.3671388732793,34563.67526754063
21196,436.8500887032072,36100.1013710488
21197,448.3346964043715,37190.087012536016
21198,438.4016423326902,36781.178053455544
21199,477.92363406720114,39806.65753363374
21200,144.67204291085406,5895.61540468847
21201,154.5477272560163,6410.918654919901
21202,145.99657530229948,6872.317367526037
21203,154.49595463959565,7815.976138653444
21204,160.04686813555583,8036.249249494443
21205,149.37536610833797,7009.298538370298
21206,152.9051993883792,7866.0597505994065
21207,152.50245899656832,7761.5253655451
21208,150.9006295546841,7879.890798735729
21209,148.05404418657398,6479.285917444916
21210,150.61872393563823,6595.848088002027
21211,167.00898179439332,9600.004583332238
21212,151.13570061372,8100.459678314559
21213,154.90965108733542,8963.32639146874
21214,161.76217110313524,8855.339688572089
21215,164.69669092000603,9632.072726054346
