beta,diag,seed,dpsi,index,distance,distance_cum,r2,r2_adjusted
1.786429355714254,0.1031597484140038,23025,1.6464646464646466,19916,118.4440796325422,429.29826461331055,0.9927424534100615,0.9926260221813459
1.7969014648712889,0.1026199132115092,25343,1.8080808080808082,29020,140.34600101178515,431.7348723464437,0.992659834958618,0.9925420783002001
1.8194347623614255,0.1052760011082361,24441,1.7676767676767677,1719,86.53900854527974,431.81824880382254,0.99265699962568,0.9925391974806375
1.8021869996726696,0.1011191228941935,99659,1.8484848484848486,9121,104.17773274553444,431.9953703455628,0.9926509745431867,0.9925330757390667
1.8302928305738853,0.1004678092424847,53774,1.6464646464646466,13816,111.96874563912914,434.3627516258731,0.9925702069340777,0.9924510123929132
1.6580641619378853,0.1141553458478313,93293,1.5656565656565657,17714,117.46063170271135,435.0735569992734,0.9925458703263598,0.9924262853583334
1.80880483523648,0.1014540781442868,1634,1.8484848484848486,25121,125.7258923213512,435.2849641326932,0.9925386244755182,0.9924189232638955
1.818534074993,0.1018161712890245,39123,1.7272727272727273,10718,107.80074211247342,436.1307143506405,0.9925096016925279,0.992389434874761
1.81408202467925,0.1010495815342509,70889,2.090909090909091,5227,99.40321926376429,436.4424360668884,0.992498890434762,0.9923785517786352
1.818428717506593,0.1011056060852433,33288,1.6868686868686869,9817,105.12373661547616,438.78582474824776,0.992418122825653,0.9922964884324816
1.751945109845452,0.1021215273095281,26294,1.7272727272727273,9318,106.00943354249186,439.33244815287657,0.9923992206060663,0.9922772829687305
1.8118554656771275,0.1023537255396907,85886,1.6868686868686869,317,76.49836599562111,439.35520936936666,0.9923984330135835,0.9922764827410742
1.7510697766917531,0.106375029384793,84210,1.606060606060606,22015,123.39773093537822,441.2867548431518,0.9923314482729232,0.9922084233789059
1.7622882006869716,0.1052740830318475,95380,1.9696969696969697,28924,140.10710188994705,442.1345948916461,0.9923019529344431,0.9921784548531775
1.7543984703763496,0.1058469813346516,3941,1.7676767676767677,15519,113.90785749894518,442.36297313405424,0.992293998250367,0.9921703725538489
1.7820819629117075,0.100165306580636,94635,1.6464646464646466,9516,105.35179163165664,442.46920796819296,0.9922902965656979,0.9921666114838642
1.7799755789245852,0.1004661453144416,55933,1.8484848484848486,16021,114.78240283248996,443.9324272904605,0.9922392211931897,0.9921147167203532
1.8779121856653544,0.1011640165946582,1450,2.3333333333333335,12433,108.61399541495562,444.2262936837485,0.9922289431112894,0.9921042737494384
1.785683284394971,0.105307702815666,65125,1.8080808080808082,3120,94.36630754670864,444.4614718960464,0.9922207127698444,0.9920959113704301
1.7687144578377991,0.1055738803964827,50480,2.090909090909091,9627,105.26157893552612,445.06741062450305,0.9921994871524334,0.9920743452350929
1.848632402142795,0.1039989902163513,28687,1.7676767676767677,5819,100.8265837961398,445.10111210824897,0.9921983057637094,0.9920731448936084
1.8677179548009684,0.1026087573596937,41319,2.0101010101010104,18525,116.55899793666724,445.69945030255536,0.9921773164240433,0.992051818826568
1.7563528123642629,0.1093250550017292,41854,2.0101010101010104,8325,104.747315001388,446.18605984499334,0.992160225667167,0.9920344538864263
1.7938147587265088,0.1023634038403708,36384,1.7272727272727273,8418,104.0768946500615,446.6307199465796,0.9921445919563838,0.9920185693674488
1.7956306628093457,0.1029851247881092,8863,1.6464646464646466,27016,130.927460832325,447.5086591340999,0.9921136789514347,0.9919871604319389
1.8341399134438687,0.1062643153116833,26722,2.1313131313131315,2928,92.7739187487518,450.35319472609496,0.9920131033913838,0.9918849713602296
1.7687144578377991,0.1055738803964827,50480,1.7676767676767677,9619,106.87843561729372,450.9246056715025,0.9919928228849522,0.9918643654980798
1.8357070792704289,0.1002727958022752,76611,2.090909090909091,17327,115.39064086831306,451.89489928522096,0.9919583263342064,0.9918293155267338
1.7094149017982767,0.1102753288780031,23929,2.0505050505050506,13726,110.72939989000211,452.137147334744,0.99194970219652,0.9918205530338974
